"layer_id","eov_id","short_name"
337,5,"Birds"
337,6,"Mammals"
337,8,"Seagrass"
337,9,"Macroalgae"
337,11,"Microbes"
337,12,"Invertebrates"
324,7,"Hard coral"
324,12,"Invertebrates"
306,1,"Phytoplankton"
306,2,"Zooplankton"
306,3,"Fish"
306,4,"Turtles"
306,5,"Birds"
306,6,"Mammals"
306,8,"Seagrass"
306,9,"Macroalgae"
306,12,"Invertebrates"
390,4,"Turtles"
390,8,"Seagrass"
537,3,"Fish"
537,7,"Hard coral"
537,8,"Seagrass"
537,9,"Macroalgae"
537,10,"Mangrove"
537,11,"Microbes"
537,12,"Invertebrates"
208,12,"Invertebrates"
274,2,"Zooplankton"
186,6,"Mammals"
369,3,"Fish"
369,5,"Birds"
369,7,"Hard coral"
369,11,"Microbes"
369,12,"Invertebrates"
605,1,"Phytoplankton"
605,2,"Zooplankton"
605,3,"Fish"
605,9,"Macroalgae"
605,12,"Invertebrates"
194,3,"Fish"
194,7,"Hard coral"
194,9,"Macroalgae"
194,12,"Invertebrates"
276,5,"Birds"
276,6,"Mammals"
400,1,"Phytoplankton"
400,2,"Zooplankton"
400,3,"Fish"
400,4,"Turtles"
400,6,"Mammals"
400,8,"Seagrass"
400,10,"Mangrove"
161,8,"Seagrass"
161,12,"Invertebrates"
469,1,"Phytoplankton"
469,2,"Zooplankton"
286,2,"Zooplankton"
286,3,"Fish"
286,7,"Hard coral"
286,9,"Macroalgae"
286,11,"Microbes"
286,12,"Invertebrates"
284,3,"Fish"
284,4,"Turtles"
284,5,"Birds"
284,6,"Mammals"
589,3,"Fish"
589,5,"Birds"
589,8,"Seagrass"
589,9,"Macroalgae"
589,12,"Invertebrates"
462,5,"Birds"
41,6,"Mammals"
313,1,"Phytoplankton"
313,2,"Zooplankton"
313,6,"Mammals"
305,2,"Zooplankton"
305,3,"Fish"
305,6,"Mammals"
368,7,"Hard coral"
368,9,"Macroalgae"
368,12,"Invertebrates"
157,1,"Phytoplankton"
157,11,"Microbes"
360,1,"Phytoplankton"
425,6,"Mammals"
341,1,"Phytoplankton"
341,2,"Zooplankton"
343,1,"Phytoplankton"
343,2,"Zooplankton"
317,1,"Phytoplankton"
317,2,"Zooplankton"
318,1,"Phytoplankton"
318,2,"Zooplankton"
34,1,"Phytoplankton"
34,2,"Zooplankton"
34,3,"Fish"
34,11,"Microbes"
507,1,"Phytoplankton"
507,2,"Zooplankton"
507,3,"Fish"
507,5,"Birds"
507,6,"Mammals"
439,3,"Fish"
439,4,"Turtles"
439,6,"Mammals"
260,6,"Mammals"
260,8,"Seagrass"
260,12,"Invertebrates"
495,1,"Phytoplankton"
495,3,"Fish"
495,6,"Mammals"
495,8,"Seagrass"
495,9,"Macroalgae"
495,12,"Invertebrates"
403,1,"Phytoplankton"
403,2,"Zooplankton"
403,11,"Microbes"
414,4,"Turtles"
414,5,"Birds"
414,6,"Mammals"
414,10,"Mangrove"
143,9,"Macroalgae"
143,12,"Invertebrates"
311,3,"Fish"
311,4,"Turtles"
311,5,"Birds"
311,6,"Mammals"
506,12,"Invertebrates"
180,3,"Fish"
180,4,"Turtles"
180,6,"Mammals"
442,1,"Phytoplankton"
442,2,"Zooplankton"
442,3,"Fish"
442,6,"Mammals"
376,3,"Fish"
376,4,"Turtles"
376,7,"Hard coral"
376,8,"Seagrass"
376,9,"Macroalgae"
376,12,"Invertebrates"
388,3,"Fish"
388,4,"Turtles"
388,6,"Mammals"
557,6,"Mammals"
252,1,"Phytoplankton"
252,2,"Zooplankton"
252,3,"Fish"
252,11,"Microbes"
252,12,"Invertebrates"
504,9,"Macroalgae"
611,1,"Phytoplankton"
611,3,"Fish"
611,4,"Turtles"
611,6,"Mammals"
611,7,"Hard coral"
611,8,"Seagrass"
611,9,"Macroalgae"
611,12,"Invertebrates"
49,6,"Mammals"
572,1,"Phytoplankton"
381,1,"Phytoplankton"
381,2,"Zooplankton"
381,5,"Birds"
381,6,"Mammals"
381,11,"Microbes"
335,1,"Phytoplankton"
335,3,"Fish"
335,8,"Seagrass"
335,9,"Macroalgae"
335,12,"Invertebrates"
308,6,"Mammals"
417,5,"Birds"
438,9,"Macroalgae"
438,10,"Mangrove"
438,12,"Invertebrates"
35,1,"Phytoplankton"
67,3,"Fish"
67,4,"Turtles"
67,5,"Birds"
67,6,"Mammals"
67,7,"Hard coral"
67,8,"Seagrass"
67,10,"Mangrove"
610,1,"Phytoplankton"
610,2,"Zooplankton"
610,11,"Microbes"
163,2,"Zooplankton"
245,1,"Phytoplankton"
245,2,"Zooplankton"
245,3,"Fish"
236,1,"Phytoplankton"
236,2,"Zooplankton"
236,3,"Fish"
236,8,"Seagrass"
236,9,"Macroalgae"
236,12,"Invertebrates"
202,1,"Phytoplankton"
202,2,"Zooplankton"
202,11,"Microbes"
202,12,"Invertebrates"
351,1,"Phytoplankton"
351,2,"Zooplankton"
351,11,"Microbes"
323,3,"Fish"
323,7,"Hard coral"
323,9,"Macroalgae"
323,12,"Invertebrates"
135,1,"Phytoplankton"
338,1,"Phytoplankton"
330,1,"Phytoplankton"
330,2,"Zooplankton"
212,3,"Fish"
212,4,"Turtles"
212,5,"Birds"
212,6,"Mammals"
212,7,"Hard coral"
212,12,"Invertebrates"
62,1,"Phytoplankton"
62,2,"Zooplankton"
62,9,"Macroalgae"
62,11,"Microbes"
62,12,"Invertebrates"
76,6,"Mammals"
71,11,"Microbes"
71,12,"Invertebrates"
265,3,"Fish"
265,4,"Turtles"
265,5,"Birds"
265,6,"Mammals"
265,8,"Seagrass"
265,9,"Macroalgae"
265,11,"Microbes"
480,1,"Phytoplankton"
480,3,"Fish"
480,5,"Birds"
480,6,"Mammals"
480,9,"Macroalgae"
480,11,"Microbes"
480,12,"Invertebrates"
103,1,"Phytoplankton"
103,3,"Fish"
103,5,"Birds"
103,6,"Mammals"
103,9,"Macroalgae"
103,12,"Invertebrates"
521,1,"Phytoplankton"
521,2,"Zooplankton"
521,7,"Hard coral"
521,11,"Microbes"
521,12,"Invertebrates"
39,3,"Fish"
39,6,"Mammals"
39,12,"Invertebrates"
247,9,"Macroalgae"
498,2,"Zooplankton"
571,3,"Fish"
571,7,"Hard coral"
571,9,"Macroalgae"
571,12,"Invertebrates"
2,4,"Turtles"
486,5,"Birds"
517,8,"Seagrass"
423,8,"Seagrass"
398,1,"Phytoplankton"
398,2,"Zooplankton"
398,3,"Fish"
398,12,"Invertebrates"
533,3,"Fish"
533,7,"Hard coral"
533,9,"Macroalgae"
533,12,"Invertebrates"
358,10,"Mangrove"
155,3,"Fish"
529,11,"Microbes"
393,3,"Fish"
393,7,"Hard coral"
393,8,"Seagrass"
393,9,"Macroalgae"
184,1,"Phytoplankton"
184,2,"Zooplankton"
184,3,"Fish"
184,6,"Mammals"
184,7,"Hard coral"
184,8,"Seagrass"
184,9,"Macroalgae"
184,12,"Invertebrates"
285,6,"Mammals"
209,1,"Phytoplankton"
209,11,"Microbes"
45,3,"Fish"
229,1,"Phytoplankton"
229,2,"Zooplankton"
171,3,"Fish"
171,9,"Macroalgae"
171,12,"Invertebrates"
609,9,"Macroalgae"
609,12,"Invertebrates"
354,3,"Fish"
354,4,"Turtles"
354,5,"Birds"
354,6,"Mammals"
354,7,"Hard coral"
354,12,"Invertebrates"
327,1,"Phytoplankton"
