Network Name,Latitude,Longitude,EOVs sampled,Date start sampled,Date end sampled,sampling site name,Original Order
OTN,63.65,-68.78,NA,7/15/09,9/9/09,FRO-SW016,13009
OTN,44.16,-68.77,NA,4/22/11,6/28/11,PBN-2011-031,5892
OTN,63.59,-68.77,NA,8/2/08,9/30/08,FRO-R011,6556
OTN,44.16,-68.76,NA,4/20/10,7/1/10,PBN-2010-034,15811
OTN,63.57,-68.76,NA,8/2/08,9/30/08,FRO-R012,7971
OTN,63.61,-68.76,NA,8/5/08,9/30/08,FRO-R015,7466
OTN,44.16,-68.75,NA,4/17/12,6/28/12,PBN-2012-036,5988
OTN,63.57,-68.75,NA,7/15/09,9/9/09,FRO-SW007,12265
OTN,44.17,-68.75,NA,4/17/12,6/28/12,PBN-2012-037,8640
OTN,63.58,-68.75,NA,7/15/09,9/9/09,FRO-SW005,11676
OTN,44.17,-68.74,NA,4/20/10,7/1/10,PBN-2010-039,15077
OTN,63.63,-68.74,NA,8/5/08,9/30/08,FRO-R018,6400
OTN,63.56,-68.74,NA,8/2/08,9/30/08,FRO-R001,7235
OTN,44.17,-68.73,NA,4/20/10,7/1/10,PBN-2010-042,5644
OTN,44.31,-68.73,NA,4/28/09,7/16/09,PBN-2009-046,10170
OTN,63.62,-68.73,NA,8/5/08,9/30/08,FRO-R016,9888
OTN,63.56,-68.73,NA,8/2/08,9/30/08,FRO-R002,9252
OTN,44.17,-68.72,NA,4/27/09,7/2/09,PBN-2009-045,14792
OTN,44.32,-68.72,NA,4/19/12,8/2/12,PBN-2012-045,5545
OTN,63.56,-68.72,NA,8/2/08,9/30/08,FRO-R003,9372
OTN,63.66,-68.71,NA,8/4/08,9/30/08,FRO-R013,15119
OTN,63.57,-68.71,NA,8/2/08,9/30/08,FRO-R004,9430
OTN,63.62,-68.7,NA,7/15/09,9/13/09,FRO-SW011,8219
OTN,63.57,-68.7,NA,8/2/08,9/30/08,FRO-R005,10932
OTN,63.62,-68.69,NA,8/5/08,9/30/08,FRO-R017,14251
OTN,63.57,-68.69,NA,8/2/08,9/30/08,FRO-R006,6844
OTN,63.58,-68.68,NA,8/2/08,9/30/08,FRO-R007,12584
OTN,63.54,-68.68,NA,7/15/09,9/9/09,FRO-SW008,11278
OTN,63.73,-68.68,NA,7/14/09,9/20/09,FRO-SW018,6576
OTN,63.72,-68.68,NA,8/21/08,9/30/08,FRO-R034,13079
OTN,63.58,-68.67,NA,8/2/08,9/30/08,FRO-R008,13786
OTN,63.55,-68.67,NA,7/15/09,9/9/09,FRO-SW009,5373
OTN,63.59,-68.67,NA,8/2/08,9/30/08,FRO-R009,21187
OTN,63.48,-68.59,NA,8/6/08,9/30/08,FRO-R026,11241
OTNGlobal,48.67,-68.58,NA,4/15/18,11/25/18,PMZA-RIKI,18931
OTN,63.77,-68.58,NA,8/22/08,9/20/08,FRO-R036,11998
OTN,63.75,-68.57,NA,6/24/09,9/26/09,FRO-FW003,12854
OTN,63.74,-68.57,NA,7/10/09,9/27/09,FRO-SW028,20712
OTN,63.74,-68.56,NA,7/10/09,9/26/09,FRO-SW027,9661
OTN,63.73,-68.55,NA,8/21/08,9/30/08,FRO-R035,6431
OTN,63.46,-68.55,NA,8/6/08,8/21/08,FRO-R025,14808
OTN,63.72,-68.53,NA,7/1/09,9/11/09,FRO-SW019,5878
OTN,63.46,-68.46,NA,7/14/09,9/25/09,FRO-SW026,17821
OTN,63.46,-68.45,NA,7/14/09,9/25/09,FRO-SW025,16967
OTN,63.46,-68.44,NA,7/14/09,7/6/10,FRO-SW024,11954
OTN,44.53,-68.42,NA,5/14/10,11/16/10,UN01,6100
OTN,44.52,-68.42,NA,4/25/13,11/20/13,UN02,5088
OTN,44.54,-68.42,NA,5/2/16,8/31/16,UN03,8929
OTN,63.67,-68.4,NA,7/14/09,9/9/09,FRO-SW020,15234
OTNGlobal,70.32,-68.34,NA,10/7/15,9/25/16,G15_1,11852
OTN,63.35,-68.32,NA,7/14/09,9/9/09,FRO-SW023,5885
OTN,63.62,-68.28,NA,7/14/09,9/9/09,FRO-SW021,5335
OTNGlobal,44.28,-68.2,NA,9/10/13,10/16/13,penobscot-20130910,21068
OTNGlobal,48.66,-68.16,NA,9/9/15,9/20/16,BOOGSL-IML-3B,4969
OTN,49.27,-68.13,NA,8/1/05,8/8/05,GEERG-BDA001,18283
OTN,44.11,-68.11,NA,6/5/15,10/9/16,GMG-I01,7826
OTNGlobal,43.95,-68.11,NA,7/19/15,10/9/15,MDR_SW MDR_04,18195
OTNGlobal,43.99,-68.11,NA,7/19/15,10/9/15,MDR_NW MDR_01,19474
OTNGlobal,43.97,-68.08,NA,7/19/15,10/22/15,MDR_C MDR_05,21288
OTN,49.28,-68.05,NA,8/1/05,8/8/05,GEERG-WB001,13508
OTN,49.29,-68.05,NA,7/28/04,11/1/04,GEERG-BSP001,21777
OTN,49.27,-68.05,NA,8/1/05,8/8/05,GEERG-W-BSP001,13052
OTNGlobal,43.94,-68.04,NA,7/19/15,10/13/15,MDR_SE MDR_03,20882
OTNGlobal,43.99,-68.04,NA,7/19/15,10/9/15,MDR_NE MDR_02,19093
OTNGlobal,40.26,-67.99,NA,7/7/17,6/9/18,WAT_OC_03,19179
OTNGlobal,40.23,-67.98,NA,6/10/18,NA,WAT_OC_04,18506
OTN,44.59,-67.92,NA,4/26/08,12/3/08,NGRTE1,7386
OTN,44.55,-67.89,NA,4/26/08,12/3/08,NGTFC,6345
OTN,43.49,-67.88,NA,11/5/15,10/8/16,GMG-M01,7557
