dataSource,Latitude,Longitude
eShark_OldOnline,7.26,98.44
eShark_OldOnline,7.26,99.03
eShark_OldOnline,7.26,99.05
eShark_OldOnline,7.26,98.39
eShark_OldOnline,7.27,98.62
eShark_OldOnline,7.29,98.83
ConservationAssessment,7.3,134.43
eShark_OldOnline,7.31,98.96
eShark_OldOnline,7.35,98.81
eShark_OldOnline,7.36,99.22
eShark_OldOnline,7.37,99.24
eShark_OldOnline,7.37,99.01
eShark_OldOnline,7.37,99.25
eShark_OldOnline,7.39,99.02
eShark_OldOnline,7.39,98.75
eShark_OldOnline,7.42,98.88
eShark_OldOnline,7.42,98.89
eShark_OldOnline,7.43,98.89
eShark_OldOnline,7.44,98.91
eShark_OldOnline,7.44,98.7
eShark_OldOnline,7.44,99.1
eShark_OldOnline,7.45,99.05
eShark_OldOnline,7.46,98.3
eShark_OldOnline,7.46,99.08
eShark_OldOnline,7.47,99.08
eShark_OldOnline,7.47,98.82
eShark_OldOnline,7.47,99.09
eShark_OldOnline,7.48,98.31
eShark_OldOnline,7.48,99.05
eShark_OldOnline,7.48,99.09
eShark_OldOnline,7.48,99.08
eShark_OldOnline,7.48,98.75
eShark_OldOnline,7.48,99.06
eShark_OldOnline,7.49,98.32
eShark_OldOnline,7.49,98.31
eShark_OldOnline,7.49,99.09
eShark_OldOnline,7.49,98.87
eShark_OldOnline,7.49,99.06
eShark_OldOnline,7.49,99.08
eShark_OldOnline,7.49,99.03
eShark_OldOnline,7.49,99.07
eShark_OldOnline,7.5,98.32
eShark_OldOnline,7.5,98.3
eShark_OldOnline,7.5,99.05
eShark_OldOnline,7.5,99.07
eShark_OldOnline,7.5,99.08
eShark_OldOnline,7.5,99.09
eShark_OldOnline,7.5,99.06
eShark_OldOnline,7.5,99.1
eShark_OldOnline,7.51,99.08
eShark_OldOnline,7.51,99.06
eShark_OldOnline,7.51,99.05
eShark_OldOnline,7.51,98.87
eShark_OldOnline,7.51,99.07
eShark_OldOnline,7.51,99.04
eShark_OldOnline,7.51,99.09
eShark_OldOnline,7.51,99.1
eShark_OldOnline,7.51,98.33
eShark_OldOnline,7.52,99.04
eShark_OldOnline,7.52,99.06
eShark_OldOnline,7.52,99.08
eShark_OldOnline,7.52,97.56
eShark_OldOnline,7.52,98.77
eShark_OldOnline,7.52,99.09
eShark_OldOnline,7.53,98.87
eShark_OldOnline,7.53,98.78
ConservationAssessment,7.53,76.86
eShark_OldOnline,7.54,99.04
eShark_OldOnline,7.54,99.09
eShark_OldOnline,7.54,99.05
eShark_OldOnline,7.54,99.08
eShark_OldOnline,7.54,99.06
eShark_OldOnline,7.54,99.03
eShark_OldOnline,7.54,99.12
eShark_OldOnline,7.54,98.81
eShark_OldOnline,7.55,99.06
eShark_OldOnline,7.55,99.07
eShark_OldOnline,7.55,99.09
eShark_OldOnline,7.55,98.85
eShark_OldOnline,7.55,99.05
eShark_OldOnline,7.55,99.08
eShark_OldOnline,7.55,99.01
eShark_OldOnline,7.55,99.04
eShark_OldOnline,7.55,99.1
eShark_OldOnline,7.56,99.05
eShark_OldOnline,7.56,99.06
eShark_OldOnline,7.56,99.04
eShark_OldOnline,7.56,99.08
eShark_OldOnline,7.56,99.09
eShark_OldOnline,7.57,99.06
eShark_OldOnline,7.57,99.04
eShark_OldOnline,7.57,99.05
eShark_OldOnline,7.57,99.12
eShark_OldOnline,7.57,97.87
eShark_OldOnline,7.57,98.66
eShark_OldOnline,7.58,99.05
eShark_OldOnline,7.58,99.06
eShark_OldOnline,7.58,99.04
eShark_OldOnline,7.58,99.08
eShark_OldOnline,7.59,99.06
eShark_OldOnline,7.59,99.1
eShark_OldOnline,7.59,98.31
eShark_OldOnline,7.59,99.05
eShark_OldOnline,7.59,98.85
eShark_OldOnline,7.6,98.37
eShark_OldOnline,7.6,98.38
eShark_OldOnline,7.6,98.36
eShark_OldOnline,7.6,98.77
eShark_OldOnline,7.6,99.05
eShark_OldOnline,7.6,98.33
ZohoeShark,7.6,98.86
eShark_OldOnline,7.61,93.56
eShark_OldOnline,7.61,98.37
eShark_OldOnline,7.61,98.36
eShark_OldOnline,7.61,99.1
eShark_OldOnline,7.61,99.06
eShark_OldOnline,7.61,98.97
eShark_OldOnline,7.61,98
eShark_OldOnline,7.61,98.39
eShark_OldOnline,7.61,99.05
eShark_OldOnline,7.62,98.74
eShark_OldOnline,7.62,98.81
eShark_OldOnline,7.62,98.83
eShark_OldOnline,7.62,99.04
eShark_OldOnline,7.62,98.82
eShark_OldOnline,7.62,98.86
eShark_OldOnline,7.62,98.84
eShark_OldOnline,7.63,98.75
eShark_OldOnline,7.63,98.82
eShark_OldOnline,7.63,98.85
eShark_OldOnline,7.63,98.83
eShark_OldOnline,7.63,98.84
eShark_OldOnline,7.63,98.81
eShark_OldOnline,7.63,99.03
eShark_OldOnline,7.64,98.76
eShark_OldOnline,7.64,98.75
eShark_OldOnline,7.64,98.77
eShark_OldOnline,7.64,98.82
eShark_OldOnline,7.65,98.76
eShark_OldOnline,7.65,98.36
eShark_OldOnline,7.65,98.75
eShark_OldOnline,7.65,99.03
eShark_OldOnline,7.65,98.84
eShark_OldOnline,7.65,98.79
ConservationAssessment,7.65,98.14
eShark_OldOnline,7.66,98.76
eShark_OldOnline,7.67,98.76
eShark_OldOnline,7.67,98.82
eShark_OldOnline,7.67,98.77
eShark_OldOnline,7.68,98.76
eShark_OldOnline,7.68,98.77
eShark_OldOnline,7.68,98.75
eShark_OldOnline,7.68,98.78
eShark_OldOnline,7.69,98.84
eShark_OldOnline,7.69,98.81
eShark_OldOnline,7.69,98.76
eShark_OldOnline,7.69,98.75
eShark_OldOnline,7.69,98.78
eShark_OldOnline,7.69,98.77
eShark_OldOnline,7.7,98.82
eShark_OldOnline,7.7,98.81
eShark_OldOnline,7.7,98.8
eShark_OldOnline,7.7,98.57
eShark_OldOnline,7.7,98.51
eShark_OldOnline,7.7,98.79
eShark_OldOnline,7.7,97.74
eShark_OldOnline,7.7,97.87
ZohoeShark,7.7,98.78
eShark_OldOnline,7.71,98.79
eShark_OldOnline,7.71,98.76
eShark_OldOnline,7.71,98.77
eShark_OldOnline,7.71,98.57
eShark_OldOnline,7.72,98.76
eShark_OldOnline,7.72,98.81
eShark_OldOnline,7.72,98.75
eShark_OldOnline,7.72,98.78
ZohoeShark,7.72,98.79
eShark_OldOnline,7.73,98.75
eShark_OldOnline,7.73,98.53
eShark_OldOnline,7.73,98.57
eShark_OldOnline,7.73,98.76
eShark_OldOnline,7.73,98.29
eShark_OldOnline,7.74,98.61
eShark_OldOnline,7.74,98.75
eShark_OldOnline,7.74,98.76
eShark_OldOnline,7.74,98.77
eShark_OldOnline,7.74,97.91
eShark_OldOnline,7.75,98.32
eShark_OldOnline,7.75,98.33
eShark_OldOnline,7.75,98.76
eShark_OldOnline,7.75,98.75
eShark_OldOnline,7.75,98.61
eShark_OldOnline,7.75,98.54
eShark_OldOnline,7.76,98.76
eShark_OldOnline,7.76,98.75
eShark_OldOnline,7.76,98.33
eShark_OldOnline,7.76,98.47
eShark_OldOnline,7.76,98.78
eShark_OldOnline,7.77,98.61
eShark_OldOnline,7.77,98.56
eShark_OldOnline,7.78,98.75
eShark_OldOnline,7.78,98.72
eShark_OldOnline,7.78,98.59
eShark_OldOnline,7.78,98.66
eShark_OldOnline,7.78,98.74
eShark_OldOnline,7.79,98.53
eShark_OldOnline,7.79,98.6
eShark_OldOnline,7.79,98.59
eShark_OldOnline,7.79,98.48
eShark_OldOnline,7.79,98.74
eShark_OldOnline,7.79,98.75
eShark_OldOnline,7.79,98.7
eShark_OldOnline,7.79,98.73
eShark_OldOnline,7.79,98.72
eShark_OldOnline,7.79,97.56
eShark_OldOnline,7.79,97.87
eShark_OldOnline,7.79,99.05
eShark_OldOnline,7.79,98.58
eShark_OldOnline,7.8,98.3
eShark_OldOnline,7.8,98.74
eShark_OldOnline,7.8,98.73
eShark_OldOnline,7.8,98.59
eShark_OldOnline,7.8,98.64
eShark_OldOnline,7.8,98.67
eShark_OldOnline,7.8,98.66
ZohoeShark,7.8,98.53
eShark_OldOnline,7.81,98.77
eShark_OldOnline,7.81,98.75
eShark_OldOnline,7.81,98.72
eShark_OldOnline,7.81,98.79
eShark_OldOnline,7.81,98.58
eShark_OldOnline,7.81,98.66
eShark_OldOnline,7.81,98.57
eShark_OldOnline,7.81,98.27
eShark_OldOnline,7.82,98.29
eShark_OldOnline,7.82,98.63
eShark_OldOnline,7.83,98.35
eShark_OldOnline,7.83,98.58
eShark_OldOnline,7.83,97.96
eShark_OldOnline,7.83,98.33
eShark_OldOnline,7.83,97.87
eShark_OldOnline,7.83,97.91
eShark_OldOnline,7.83,98.68
eShark_OldOnline,7.84,98.75
eShark_OldOnline,7.84,98.68
eShark_OldOnline,7.84,98.33
eShark_OldOnline,7.87,97.91
eShark_OldOnline,7.87,98.22
eShark_OldOnline,7.88,98.21
eShark_OldOnline,7.88,98.28
eShark_OldOnline,7.89,98.27
eShark_OldOnline,7.9,98.3
eShark_OldOnline,7.9,98.54
ConservationAssessment,7.9,147.04
eShark_OldOnline,7.92,98.79
eShark_OldOnline,7.92,98.8
eShark_OldOnline,7.92,98.57
eShark_OldOnline,7.92,98.82
eShark_OldOnline,7.92,98.3
eShark_OldOnline,7.92,98
eShark_OldOnline,7.92,98.13
eShark_OldOnline,7.93,98.8
eShark_OldOnline,7.94,98.81
eShark_OldOnline,7.94,98.8
eShark_OldOnline,7.94,98.77
eShark_OldOnline,7.94,98.79
eShark_OldOnline,7.94,98.59
eShark_OldOnline,7.94,98.78
eShark_OldOnline,7.95,98.79
eShark_OldOnline,7.95,98.78
eShark_OldOnline,7.95,98.8
eShark_OldOnline,7.95,98.83
eShark_OldOnline,7.96,98.79
eShark_OldOnline,7.96,98.8
eShark_OldOnline,7.96,98.81
eShark_OldOnline,7.96,98.88
eShark_OldOnline,7.96,97.96
eShark_OldOnline,7.97,98.56
eShark_OldOnline,7.97,98.8
eShark_OldOnline,7.97,98.26
eShark_OldOnline,7.98,98.74
eShark_OldOnline,7.98,98.81
eShark_OldOnline,8,98.26
eShark_OldOnline,8,98.75
eShark_OldOnline,8,93.56
eShark_OldOnline,8,97.96
eShark_OldOnline,8,98.77
eShark_OldOnline,8.01,93.33
eShark_OldOnline,8.01,98.79
eShark_OldOnline,8.05,98.34
eShark_OldOnline,8.05,97.74
eShark_OldOnline,8.05,97.91
eShark_OldOnline,8.05,93.42
eShark_OldOnline,8.07,98.72
ConservationAssessment,8.07,-80.11
eShark_OldOnline,8.09,98.7
eShark_OldOnline,8.09,93.39
eShark_OldOnline,8.09,97.87
