Longitude_orig,"E,W",Latitude_orig,"N,S",Longitude,Latitude
136.233,E,37.333,N,136.23,37.33
136.233,E,36.583,N,136.23,36.58
136.448,E,37.349,N,136.45,37.35
136.459,E,37.5,N,136.46,37.5
136.497,E,38,N,136.5,38
136.497,E,38.5,N,136.5,38.5
136.497,E,37.004,N,136.5,37
136.499,E,37.497,N,136.5,37.5
136.5,E,38.006,N,136.5,38.01
136.502,E,37.506,N,136.5,37.51
136.505,E,37.992,N,136.5,37.99
136.507,E,38.491,N,136.51,38.49
136.509,E,37.029,N,136.51,37.03
136.509,E,37.008,N,136.51,37.01
136.51,E,38.496,N,136.51,38.5
136.517,E,38.505,N,136.52,38.51
136.537,E,37.501,N,136.54,37.5
136.648,E,36.998,N,136.65,37
136.971,E,38,N,136.97,38
136.991,E,38.674,N,136.99,38.67
136.998,E,37.56,N,137,37.56
136.998,E,38.001,N,137,38
136.998,E,37.549,N,137,37.55
136.999,E,38.499,N,137,38.5
137,E,39,N,137,39
137.004,E,38.493,N,137,38.49
137.005,E,37.5,N,137,37.5
137.013,E,38.681,N,137.01,38.68
137.038,E,37.511,N,137.04,37.51
137.1,E,36.833,N,137.1,36.83
137.23,E,37.25,N,137.23,37.25
137.263,E,37.004,N,137.26,37
137.496,E,37.325,N,137.5,37.33
137.497,E,38.001,N,137.5,38
137.497,E,39.333,N,137.5,39.33
137.499,E,37.497,N,137.5,37.5
137.5,E,38.666,N,137.5,38.67
137.5,E,37,N,137.5,37
137.501,E,39.504,N,137.5,39.5
137.501,E,38.513,N,137.5,38.51
137.501,E,37.083,N,137.5,37.08
137.502,E,39.007,N,137.5,39.01
137.502,E,38.501,N,137.5,38.5
137.506,E,37.498,N,137.51,37.5
137.509,E,37.002,N,137.51,37
137.51,E,37.999,N,137.51,38
137.511,E,39,N,137.51,39
137.57,E,38.2,N,137.57,38.2
137.817,E,37.7,N,137.82,37.7
137.85,E,38.733,N,137.85,38.73
137.9,E,38,N,137.9,38
137.966,E,38,N,137.97,38
137.983,E,37.533,N,137.98,37.53
137.989,E,39.502,N,137.99,39.5
137.989,E,38.503,N,137.99,38.5
137.996,E,37.345,N,138,37.34
137.998,E,38,N,138,38
137.998,E,37.596,N,138,37.6
137.998,E,39.333,N,138,39.33
137.999,E,40.504,N,138,40.5
137.999,E,40.001,N,138,40
137.999,E,39,N,138,39
137.999,E,38.668,N,138,38.67
138,E,41.499,N,138,41.5
138,E,40.998,N,138,41
138,E,41.333,N,138,41.33
138,E,34.3,N,138,34.3
138,E,34,N,138,34
138,E,33.3,N,138,33.3
138,E,33,N,138,33
138,E,32,N,138,32
138,E,31,N,138,31
138,E,30,N,138,30
138.001,E,39.497,N,138,39.5
138.001,E,38.501,N,138,38.5
138.001,E,37.184,N,138,37.18
138.001,E,37.251,N,138,37.25
138.001,E,40.665,N,138,40.66
138.001,E,39.338,N,138,39.34
138.002,E,37.58,N,138,37.58
138.002,E,41.98,N,138,41.98
138.005,E,41.997,N,138,42
138.005,E,40.668,N,138,40.67
138.006,E,37.991,N,138.01,37.99
138.008,E,40.669,N,138.01,40.67
138.009,E,40,N,138.01,40
138.018,E,41.323,N,138.02,41.32
138.022,E,41.5,N,138.02,41.5
138.18,E,38.53,N,138.18,38.53
138.433,E,38.383,N,138.43,38.38
138.463,E,40.001,N,138.46,40
138.469,E,39.504,N,138.47,39.5
138.485,E,38.667,N,138.49,38.67
138.494,E,41.334,N,138.49,41.33
138.496,E,38.997,N,138.5,39
138.498,E,37.666,N,138.5,37.67
138.498,E,39.997,N,138.5,40
138.499,E,40.502,N,138.5,40.5
138.499,E,38.501,N,138.5,38.5
138.5,E,40.014,N,138.5,40.01
138.5,E,39.497,N,138.5,39.5
138.5,E,37.665,N,138.5,37.66
138.5,E,39.333,N,138.5,39.33
138.501,E,41.998,N,138.5,42
138.501,E,37.501,N,138.5,37.5
138.501,E,37.509,N,138.5,37.51
138.502,E,40.998,N,138.5,41
138.503,E,39.321,N,138.5,39.32
138.504,E,40.664,N,138.5,40.66
138.505,E,41.5,N,138.5,41.5
138.505,E,40.668,N,138.5,40.67
138.51,E,39.991,N,138.51,39.99
138.511,E,39.328,N,138.51,39.33
138.512,E,41.502,N,138.51,41.5
138.514,E,39.002,N,138.51,39
138.514,E,38.672,N,138.51,38.67
138.524,E,40.673,N,138.52,40.67
138.593,E,38.084,N,138.59,38.08
138.609,E,38.11,N,138.61,38.11
138.617,E,42,N,138.62,42
138.626,E,38.092,N,138.63,38.09
138.68,E,37.68,N,138.68,37.68
138.682,E,38.165,N,138.68,38.16
138.75,E,38.183,N,138.75,38.18
138.82,E,34,N,138.82,34
138.883,E,39.267,N,138.88,39.27
138.983,E,40.677,N,138.98,40.68
138.987,E,41.335,N,138.99,41.34
138.993,E,39.334,N,138.99,39.33
138.994,E,40.498,N,138.99,40.5
138.995,E,40.016,N,139,40.02
138.996,E,41.336,N,139,41.34
138.997,E,38.503,N,139,38.5
138.997,E,38.666,N,139,38.67
138.998,E,38.011,N,139,38.01
138.999,E,41.501,N,139,41.5
138.999,E,41.005,N,139,41.01
138.999,E,39.001,N,139,39
138.999,E,41.001,N,139,41
138.999,E,40.499,N,139,40.5
138.999,E,40.001,N,139,40
138.999,E,38.003,N,139,38
139,E,41.993,N,139,41.99
139,E,38.03,N,139,38.03
139,E,40.62,N,139,40.62
139.001,E,39.5,N,139,39.5
139.002,E,42,N,139,42
139.002,E,39.335,N,139,39.34
139.003,E,40.669,N,139,40.67
139.006,E,39.5,N,139.01,39.5
139.007,E,40.667,N,139.01,40.67
139.011,E,39.002,N,139.01,39
139.013,E,38.666,N,139.01,38.67
139.014,E,41.499,N,139.01,41.5
139.03,E,38.031,N,139.03,38.03
139.083,E,37.967,N,139.08,37.97
139.15,E,34.28,N,139.15,34.28
139.3,E,39.033,N,139.3,39.03
139.3,E,34.55,N,139.3,34.55
139.33,E,41,N,139.33,41
139.33,E,40.62,N,139.33,40.62
139.35,E,34.5,N,139.35,34.5
139.359,E,38.502,N,139.36,38.5
139.368,E,38.501,N,139.37,38.5
139.38,E,34.6,N,139.38,34.6
139.4,E,34.08,N,139.4,34.08
139.45,E,40.217,N,139.45,40.22
139.472,E,38.667,N,139.47,38.67
139.477,E,38.666,N,139.48,38.67
139.478,E,40.014,N,139.48,40.01
139.483,E,41.998,N,139.48,42
139.486,E,39.336,N,139.49,39.34
139.488,E,40.016,N,139.49,40.02
139.489,E,39.5,N,139.49,39.5
139.498,E,41.335,N,139.5,41.34
139.499,E,41.5,N,139.5,41.5
139.499,E,40.502,N,139.5,40.5
139.5,E,40.468,N,139.5,40.47
139.5,E,41.002,N,139.5,41
139.5,E,40.012,N,139.5,40.01
139.501,E,40.002,N,139.5,40
139.501,E,40.659,N,139.5,40.66
139.502,E,39.001,N,139.5,39
139.502,E,40.673,N,139.5,40.67
139.502,E,39.337,N,139.5,39.34
139.502,E,38.663,N,139.5,38.66
139.503,E,39.502,N,139.5,39.5
139.505,E,38.675,N,139.5,38.67
139.514,E,41.334,N,139.51,41.33
139.55,E,33.92,N,139.55,33.92
139.55,E,34.5,N,139.55,34.5
139.574,E,42,N,139.57,42
139.58,E,40,N,139.58,40
139.67,E,41,N,139.67,41
139.683,E,38.783,N,139.68,38.78
139.683,E,40.217,N,139.68,40.22
139.7,E,33.28,N,139.7,33.28
139.75,E,34.7,N,139.75,34.7
139.756,E,40.497,N,139.76,40.5
139.783,E,41,N,139.78,41
139.795,E,40.501,N,139.79,40.5
139.818,E,39.334,N,139.82,39.33
139.83,E,40.62,N,139.83,40.62
139.832,E,39.5,N,139.83,39.5
139.835,E,40.914,N,139.84,40.91
139.837,E,41.496,N,139.84,41.5
139.843,E,41.49,N,139.84,41.49
139.849,E,40.916,N,139.85,40.92
139.917,E,40.334,N,139.92,40.33
139.918,E,41.335,N,139.92,41.34
139.95,E,40.217,N,139.95,40.22
139.997,E,42.001,N,140,42
139.998,E,40.999,N,140,41
140,E,34.817,N,140,34.82
140,E,34.7,N,140,34.7
140.006,E,41,N,140.01,41
140.1,E,40.9,N,140.1,40.9
140.15,E,35.05,N,140.15,35.05
140.2,E,34.683,N,140.2,34.68
140.2,E,41,N,140.2,41
140.25,E,40,N,140.25,40
140.25,E,34.7,N,140.25,34.7
140.4,E,34.55,N,140.4,34.55
140.417,E,34.883,N,140.42,34.88
140.48,E,35.25,N,140.48,35.25
140.57,E,34.75,N,140.57,34.75
140.6,E,34.417,N,140.6,34.42
140.667,E,35.15,N,140.67,35.15
140.7,E,35.5,N,140.7,35.5
140.743,E,35.992,N,140.74,35.99
140.75,E,36,N,140.75,36
140.768,E,36.567,N,140.77,36.57
140.78,E,36.32,N,140.78,36.32
140.867,E,35.017,N,140.87,35.02
140.867,E,35.383,N,140.87,35.38
140.96,E,36.567,N,140.96,36.57
140.967,E,35.633,N,140.97,35.63
140.97,E,36.57,N,140.97,36.57
140.98,E,36.32,N,140.98,36.32
140.993,E,35.7,N,140.99,35.7
141,E,38.133,N,141,38.13
141,E,38.033,N,141,38.03
141,E,34.15,N,141,34.15
141,E,35.7,N,141,35.7
141,E,36,N,141,36
141,E,36.08,N,141,36.08
141.01,E,38.18,N,141.01,38.18
141.017,E,35.283,N,141.02,35.28
141.03,E,37,N,141.03,37
141.03,E,37.83,N,141.03,37.83
141.04,E,36.48,N,141.04,36.48
141.04,E,36.57,N,141.04,36.57
141.05,E,38.118,N,141.05,38.12
141.066,E,38.151,N,141.07,38.15
141.067,E,34.883,N,141.07,34.88
141.08,E,38.031,N,141.08,38.03
141.08,E,38,N,141.08,38
141.08,E,30.03,N,141.08,30.03
141.083,E,38.333,N,141.08,38.33
141.084,E,37.032,N,141.08,37.03
141.085,E,38.03,N,141.09,38.03
141.085,E,38.001,N,141.09,38
141.098,E,36.596,N,141.1,36.6
141.1,E,37,N,141.1,37
141.1,E,37.83,N,141.1,37.83
141.106,E,38.184,N,141.11,38.18
141.13,E,38.13,N,141.13,38.13
141.13,E,34.45,N,141.13,34.45
141.133,E,38.233,N,141.13,38.23
141.133,E,39.333,N,141.13,39.33
141.145,E,38.166,N,141.15,38.17
141.166,E,38.102,N,141.17,38.1
141.18,E,35.5,N,141.18,35.5
141.18,E,36.57,N,141.18,36.57
141.186,E,36.567,N,141.19,36.57
141.193,E,38.081,N,141.19,38.08
141.195,E,37.947,N,141.19,37.95
141.2,E,37,N,141.2,37
141.2,E,37.83,N,141.2,37.83
141.2,E,37.94,N,141.2,37.94
141.202,E,38.169,N,141.2,38.17
141.21,E,38.18,N,141.21,38.18
141.21,E,38.2,N,141.21,38.2
141.211,E,38.186,N,141.21,38.19
141.22,E,38.18,N,141.22,38.18
