Network Name,Latitude,Longitude,EOV sampled,Year Start,Year End,sampling site name,Depth,Habitat Type,Country,Locality,PI
Global ARMS Program,-74.69,164.1,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",11/30/15,ongoing,ICEPLPASE06,22 meters,Degrading cliff,Antarctica,Tethys Bay,Stefano Schiaparelli
Global ARMS Program,-23.51,43.71,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",6/7/15,ongoing,MAD-01-03,9 meters,Barrier reef outer slope,Madagascar,NA,Henrich Bruggemann
Global ARMS Program,-23.5,43.69,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",6/9/15,ongoing,MAD-03-03,10 meters,Barrier reef outer slope,Madagascar,NA,Henrich Bruggemann
Global ARMS Program,-23.47,151.95,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",9/5/08,11/19/09,HER-03_S3-C1-A3,15 meters,Reef,Australia,Heron Island,Julian Caley
Global ARMS Program,-22.77,113.7,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",5/29/09,5/31/10,NIN-03_S3-C1-A3,14 meters,Fore Reef (Outer),Australia,Point Cloates,Julian Caley
Global ARMS Program,-22.34,40.34,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",5/9/09,4/30/11,NOR-01-03,10 meters,Fringing reef outer slope,France,North,Henrich Bruggemann
Global ARMS Program,-21.17,55.28,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",9/30/14,ongoing,SLE-03,10 meters,Fringing reef outer slope,France,Saint-Leu,Henrich Bruggemann
Global ARMS Program,-21.1,55.23,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",10/31/14,ongoing,SAL-01-06,10 meters,Fringing reef outer slope,France,La Saline,Henrich Bruggemann
Global ARMS Program,-21.08,55.22,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",7/14/15,ongoing,GIL-03,10 meters,Fringing reef outer slope,France,St-Gilles,Henrich Bruggemann
Global ARMS Program,-20.75,164.23,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",1/13/18,1/13/19,KOU_2019_ARMS_12C,14 meters,NA,New Caledonia,NA,Chris Meyer
Global ARMS Program,-20.74,164.26,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",1/10/18,1/12/19,KOU_2019_ARMS_09C,14 meters,NA,New Caledonia,NA,Chris Meyer
Global ARMS Program,-20.67,164.2,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",1/12/18,1/8/19,KOU_2019_ARMS_10C,22 meters,NA,New Caledonia,NA,Chris Meyer
Global ARMS Program,-20.67,164.19,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",1/12/18,1/7/19,KOU_2019_ARMS_11C,17 meters,NA,New Caledonia,NA,Chris Meyer
Global ARMS Program,-20.67,164.25,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",1/3/18,1/11/19,KOU_2019_ARMS_02C,8 meters,NA,New Caledonia,NA,Chris Meyer
Global ARMS Program,-20.58,164.13,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",1/5/18,1/18/19,KOU_2019_ARMS_08C,11 meters,NA,New Caledonia,NA,Chris Meyer
Global ARMS Program,-20.58,164.1,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",1/4/18,1/14/19,KOU_2019_ARMS_06C,10 meters,NA,New Caledonia,NA,Chris Meyer
Global ARMS Program,-20.57,164.17,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",1/3/18,1/6/19,KOU_2019_ARMS_04C,5 meters,NA,New Caledonia,NA,Chris Meyer
Global ARMS Program,-20.56,164.18,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",1/3/18,1/20/19,KOU_2019_ARMS_03C,10 meters,NA,New Caledonia,NA,Chris Meyer
Global ARMS Program,-20.55,164.15,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",1/5/18,1/19/19,KOU_2019_ARMS_07C,8 meters,NA,New Caledonia,NA,Chris Meyer
Global ARMS Program,-20.55,164.2,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",1/4/18,1/5/19,KOU_2019_ARMS_05C,6 meters,NA,New Caledonia,NA,Chris Meyer
Global ARMS Program,-19.67,63.47,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",12/7/14,ongoing,ROD-03-03,10 meters,Fringing reef outer slope,Mauritius,Rivi̬re Banane,Henrich Bruggemann
Global ARMS Program,-19.65,63.42,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",12/9/14,ongoing,ROD-02-03,10 meters,Fringing reef channel,Mauritius,Petit Pat̩,Henrich Bruggemann
Global ARMS Program,-19.65,63.4,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",12/10/14,ongoing,ROD-01-03,10 meters,Fringing reef outer slope,Mauritius,Ile aux Fous,Henrich Bruggemann
Global ARMS Program,-17.99,-38.57,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",12/31/08,ongoing,ABR_03_03,10 meters,NA,Brazil,Ponto 14,NA
Global ARMS Program,-17.98,-38.67,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",12/31/08,ongoing,ABR_01_03,10 meters,NA,Brazil,Abrolhos RAB2,NA
