Network Name,Latitude,Longitude,EOV sampled,Year Start,Year End,sampling site name,Depth,Habitat Type,Country,Locality,PI
Global ARMS Program,-17.91,-39.15,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",12/31/08,ongoing,ABR_02_03,10 meters,NA,Brazil,Sebastiao Gomes (Oeste),NA
Global ARMS Program,-17.48,-149.84,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",11/14/10,ongoing,biocode22,3 meters,Lagoon,France,Moorea,Chris Meyer
Global ARMS Program,-17.48,-149.85,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",11/14/10,2/6/12,BIZ-827,12 meters,Outer reef slope,France,Moorea,Chris Meyer
Global ARMS Program,-17.48,-149.83,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",1/31/12,1/15/14,PLMOO_ARMS 21,12 meters,Forereef,France,Moorea,Chris Meyer
Global ARMS Program,-17.03,-149.56,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",6/14/15,ongoing,biocode30,20 meters,Forereef,France,Tetiaroa,Chris Meyer
Global ARMS Program,-17.03,-149.59,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",3/11/14,6/7/15,PLTET_201506_ARMS4,16 meters,Forereef,France,Tetiaroa,Chris Meyer
Global ARMS Program,-17.03,-149.57,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",3/11/14,6/6/15,PLTET_201506_ARMS6,16 meters,Forereef,France,Tetiaroa,Chris Meyer
Global ARMS Program,-17.02,-149.6,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",6/14/15,ongoing,biocode32,3 meters,Lagoon,France,Tetiaroa,Chris Meyer
Global ARMS Program,-14.65,145.45,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",4/16/08,3/6/10,LIZ-03_S3-C3-A3,12 meters,Reef Slope,Australia,Lizard Island,Julian Caley
Global ARMS Program,-14.56,-168.16,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",3/31/12,1/31/15,ROS-19_2012_F,5 meters,Forereef,American Samoa,Rose,Molly Timmers
Global ARMS Program,-14.55,-168.16,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",12/31/09,12/31/11,ROS-09_2010_C,5 meters,Lagoon,American Samoa,Rose,Molly Timmers
Global ARMS Program,-14.55,-168.14,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",3/31/12,1/31/15,ROS-19_2012_C,5 meters,Forereef,American Samoa,Rose,Molly Timmers
Global ARMS Program,-14.53,-168.15,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",12/31/09,12/31/11,ROS-25_2010_C,10 meters,Forereef,American Samoa,Rose,Molly Timmers
Global ARMS Program,-14.37,-170.76,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",3/31/12,1/31/15,TUT-22_2012_C,4 meters,Forereef,American Samoa,Tutuila,Molly Timmers
Global ARMS Program,-14.36,-170.76,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",12/31/07,12/31/09,TUT-F01_2008_C,17 meters,Forereef,American Samoa,Tutuila,Molly Timmers
Global ARMS Program,-14.36,-170.75,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",3/31/12,1/31/15,TUT-22_2012_I,4 meters,Forereef,American Samoa,Tutuila,Molly Timmers
Global ARMS Program,-14.29,-170.81,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",2/28/15,ongoing,TUT-74_2015_C,15 meters,Forereef,American Samoa,Tutuila,Molly Timmers
Global ARMS Program,-14.29,-170.56,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",2/27/15,ongoing,TUT-73_2015_C,15 meters,Forereef,American Samoa,Tutuila,Molly Timmers
Global ARMS Program,-14.28,-170.64,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",3/31/12,1/31/15,TUT-22_2012_F,4 meters,Forereef,American Samoa,Tutuila,Molly Timmers
Global ARMS Program,-14.26,-169.5,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",3/23/15,ongoing,TAU-12_2015_C,15 meters,Forereef,American Samoa,Manua,Molly Timmers
Global ARMS Program,-14.24,-170.66,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",2/27/15,ongoing,TUT-72_2015_C,15 meters,Forereef,American Samoa,Tutuila,Molly Timmers
Global ARMS Program,-14.21,-169.44,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",3/14/15,ongoing,TAU-04_2015_C,15 meters,Forereef,American Samoa,Manua,Molly Timmers
Global ARMS Program,-14.19,-169.66,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",3/31/12,1/31/15,OFU-03_2012_C,5 meters,Forereef,American Samoa,Ofu,Molly Timmers
Global ARMS Program,-14.18,-169.63,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",3/31/12,1/31/15,OLO-04_2012_C,4 meters,Forereef,American Samoa,Olosega,Molly Timmers
Global ARMS Program,-14.18,-169.65,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",3/25/15,ongoing,OFU-54_2015_C,15 meters,Forereef,American Samoa,Manua,Molly Timmers
Global ARMS Program,-14.18,-168.65,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",3/31/12,1/31/15,OFU-04_2012_C,5 meters,Forereef,American Samoa,Ofu,Molly Timmers
Global ARMS Program,-14.17,-169.68,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",12/31/07,12/31/09,OFU-06_2008_B,14 meters,Forereef,American Samoa,Ofu,Molly Timmers
Global ARMS Program,-14.16,-169.67,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",3/12/15,ongoing,OFU-09_2015_C,15 meters,Forereef,American Samoa,Manua,Molly Timmers
Global ARMS Program,-11.6,47.3,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",5/15/09,4/30/11,GLO-03,10 meters,Fringing reef outer slope,France,South,Henrich Bruggemann
Global ARMS Program,-11.07,-171.08,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",12/31/09,12/31/11,SWA-01_2010_C,14 meters,Forereef,American Samoa,Swains,Molly Timmers
Global ARMS Program,-11.06,-171.09,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",12/31/09,12/31/11,SWA-03_2010_C,14 meters,Forereef,American Samoa,Swains,Molly Timmers
Global ARMS Program,-11.05,-171.09,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",12/31/09,12/31/11,SWA-16_2010_A,14 meters,Forereef,American Samoa,Swains,Molly Timmers
Global ARMS Program,-9.83,150.82,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",3/31/12,ongoing,PNG#45,10 meters,Fringing reef,Papua New Guinea,Upa-Upasina,Laetitia Plaisance
Global ARMS Program,-9.82,150.82,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",3/31/12,10/31/14,PNG#33,3 meters,Fringing reef,Papua New Guinea,Upa-Upasina,Laetitia Plaisance
Global ARMS Program,-9.75,150.85,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",3/31/12,10/31/14,PNG#21,3 meters,Fringing reef,Papua New Guinea,Dobu,Laetitia Plaisance
Global ARMS Program,-9.73,150.87,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",3/31/12,10/31/14,PNG#36,3 meters,Fringing reef,Papua New Guinea,Dobu,Laetitia Plaisance
Global ARMS Program,-9.15,125.82,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",10/20/12,ongoing,TIM-06_2012_C,11 meters,Forereef,Timor-Leste,Timor,Molly Timmers
Global ARMS Program,-8.85,125.01,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",10/16/12,10/24/12,TIM-02_2012_C,14 meters,Forereef,Timor-Leste,Timor,Molly Timmers
Global ARMS Program,-8.68,126.99,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",10/21/12,ongoing,TIM-07_2012_C,15 meters,Forereef,Timor-Leste,Timor,Molly Timmers
Global ARMS Program,-8.55,125.5,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",10/14/12,10/24/12,TIM-01_2012_C,13 meters,Forereef,Timor-Leste,Timor,Molly Timmers
Global ARMS Program,-8.48,125.91,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",10/23/12,10/24/12,TIM-09_2012_C,15 meters,Forereef,Timor-Leste,Timor,Molly Timmers
Global ARMS Program,-8.42,126.43,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",10/18/12,10/24/12,TIM-04_2012_C,14 meters,Forereef,Timor-Leste,Timor,Molly Timmers
Global ARMS Program,-8.41,127.31,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",10/19/12,10/24/12,TIM-05_2012_D,15 meters,Forereef,Timor-Leste,Timor,Molly Timmers
Global ARMS Program,-8.35,127.16,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",10/22/12,10/24/12,TIM-08_2012_C,15 meters,Forereef,Timor-Leste,Timor,Molly Timmers
Global ARMS Program,-8.3,125.56,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",10/17/12,10/24/12,TIM-03_2012_C,14 meters,Forereef,Timor-Leste,Timor,Molly Timmers
Global ARMS Program,-8.29,115.6,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",6/30/13,ongoing,Tula-1_04,4 meters,Fringing reef,Indonesia,Tulamben,Chris Meyer
Global ARMS Program,-8.22,125.62,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",10/24/12,10/24/12,TIM-10_2012_C,13 meters,Forereef,Timor-Leste,Timor,Molly Timmers
Global ARMS Program,-8.13,114.65,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",6/30/13,ongoing,Deep-1_03,12 meters,Patch Reef,Indonesia,Deep Middle Reef,Chris Meyer
Global ARMS Program,-8.12,114.67,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",6/30/13,ongoing,Napo-2_03,12 meters,Patch Reef,Indonesia,Napoleon Reef,Chris Meyer
Global ARMS Program,-8.12,114.65,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",6/30/13,ongoing,Hors-1_03,12 meters,Patch Reef,Indonesia,Horse Reef,Chris Meyer
Global ARMS Program,-7.57,72.46,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",2/28/13,2/28/15,CH.DG-03,8 meters,Fringing reef,United Kingdom,Middle Island,Catherine Head
Global ARMS Program,-6.02,106.73,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",6/30/13,ongoing,Bida-1_03,10 meters,Degraded reef,Indonesia,Java,Chris Meyer
Global ARMS Program,-5.92,106.57,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",6/30/13,ongoing,Lanc-2_03,10 meters,NA,Indonesia,Java,Chris Meyer
Global ARMS Program,-5.87,106.6,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",6/30/13,ongoing,Pari-3_03,10 meters,NA,Indonesia,Java,Chris Meyer
Global ARMS Program,-5.8,106.53,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",6/30/13,ongoing,Tidu-5_03,10 meters,NA,Indonesia,Java,Chris Meyer
Global ARMS Program,-5.75,106.55,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",6/30/13,ongoing,Kara-4_03,10 meters,NA,Indonesia,Java,Chris Meyer
Global ARMS Program,-5.75,106.6,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",6/30/13,ongoing,Pram-7_03,10 meters,NA,Indonesia,Java,Chris Meyer
Global ARMS Program,-5.69,106.54,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",6/30/13,ongoing,Koto-6_03,10 meters,NA,Indonesia,Java,Chris Meyer
Global ARMS Program,-5.57,106.57,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",6/30/13,ongoing,Sepa-8_03,10 meters,NA,Indonesia,Java,Chris Meyer
Global ARMS Program,-5.44,72.81,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",2/28/13,2/28/15,CH.SL-03,8 meters,Fringing reef,United Kingdom,Middle Island,Catherine Head
Global ARMS Program,-5.36,71.97,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",2/28/13,ongoing,CH.PB-03,8 meters,Fringing reef,United Kingdom,Petit Coquelage,Catherine Head
Global ARMS Program,-5.31,150.13,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",12/31/08,12/31/11,KIM-01_2009_C,13 meters,Forereef,Papua New Guinea,Kimbe Bay,Molly Timmers
Global ARMS Program,-5.3,150.13,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",12/31/08,12/31/11,KIM-03_2009_C,15 meters,Forereef,Papua New Guinea,Kimbe Bay,Molly Timmers
Global ARMS Program,-5.12,145.82,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",11/30/12,ongoing,MAD-01_9,12 meters,Forereef,Papua New Guinea,Madang,Matthieu Leray
Global ARMS Program,-2.87,134.85,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",8/31/13,ongoing,Mang-3_03,13 meters,NA,Indonesia,Papua,Chris Meyer
Global ARMS Program,-2.67,134.82,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",8/31/13,ongoing,Angr-2_03,10 meters,NA,Indonesia,Papua,Chris Meyer
Global ARMS Program,-2.5,134.37,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",8/31/13,ongoing,YOP-5_03,12 meters,NA,Indonesia,Papua,Chris Meyer
Global ARMS Program,-2.49,134.97,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",10/31/13,ongoing,Trid-1_06,10 meters,NA,Indonesia,Papua,Chris Meyer
Global ARMS Program,-2.45,134.52,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",8/31/13,ongoing,Numa-1_03,18 meters,NA,Indonesia,Papua,Chris Meyer
Global ARMS Program,-2.24,130.55,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",8/31/13,ongoing,Miso-6_06,11 meters,NA,Indonesia,Papua,Chris Meyer
Global ARMS Program,-2.22,130.55,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",8/31/13,ongoing,Miso-6b_03,60 meters,NA,Indonesia,Papua,Chris Meyer
Global ARMS Program,-2.05,134.15,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",8/31/13,ongoing,Puru-4_03,13 meters,NA,Indonesia,Papua,Chris Meyer
Global ARMS Program,-0.78,130.5,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",8/31/13,ongoing,Daya-4_03,12 meters,NA,Indonesia,Papua,Chris Meyer
Global ARMS Program,-0.57,130.28,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",8/31/13,ongoing,Pene-3b_03,60 meters,NA,Indonesia,Papua,Chris Meyer
Global ARMS Program,-0.55,130.67,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",8/31/13,ongoing,Kep-5_06,12 meters,NA,Indonesia,Papua,Chris Meyer
Global ARMS Program,-0.44,130.43,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",8/31/13,ongoing,Pef-2_06,11 meters,NA,Indonesia,Papua,Chris Meyer
Global ARMS Program,-0.39,-160.01,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",4/7/15,ongoing,JAR-04_2015_C,15 meters,Forereef,United States of America,Jarvis,Molly Timmers
Global ARMS Program,-0.38,-160,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",5/2/12,ongoing,JAR-04_2012_C,5 meters,Forereef,United States of America,Jarvis,Molly Timmers
Global ARMS Program,-0.37,-160.01,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",5/5/12,ongoing,JAR-11_2012_C,5 meters,Forereef,United States of America,Jarvis,Molly Timmers
Global ARMS Program,-0.37,-159.98,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",4/8/15,ongoing,JAR-01_2015_C,15 meters,Forereef,United States of America,Jarvis,Molly Timmers
Global ARMS Program,-0.36,-159.99,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",12/31/09,12/31/11,JAR-08_2010_C,15 meters,Forereef,United States of America,Jarvis,Molly Timmers
Global ARMS Program,-0.15,130.05,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",8/31/13,ongoing,Waya-1_03,11 meters,NA,Indonesia,Papua,Chris Meyer
Global ARMS Program,0.19,-176.46,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",12/31/09,12/31/11,BAK-16_2010_C,12 meters,Forereef,United States of America,Baker,Molly Timmers
Global ARMS Program,0.2,-176.49,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",12/31/09,12/31/11,BAK-11_2010_C,17 meters,Forereef,United States of America,Baker,Molly Timmers
Global ARMS Program,0.21,-176.47,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",12/31/07,12/31/09,BAK14_2008_C,17 meters,Forereef,United States of America,Baker,Molly Timmers
Global ARMS Program,0.8,-176.62,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",12/31/09,12/31/11,HOW-11_2010_C,17 meters,Forereef,United States of America,Howland,Molly Timmers
Global ARMS Program,0.81,-176.62,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",12/31/09,12/31/11,HOW-05_2010_C,17 meters,Forereef,United States of America,Howland,Molly Timmers
Global ARMS Program,1.16,103.74,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",1/11/16,ongoing,AB042016_RL_3,5 meters,Reef,Singapore,NA,Andrew Bauman
Global ARMS Program,1.21,103.75,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",1/12/16,ongoing,AB042016_SK_3,2 meters,Reef,Singapore,NA,Andrew Bauman
Global ARMS Program,1.23,103.86,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",1/10/16,ongoing,AB042016_KU_3,3 meters,Reef,Singapore,NA,Andrew Bauman
Global ARMS Program,1.23,103.73,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",1/12/16,ongoing,AB042016_TPT_3,6 meters,Reef,Singapore,NA,Andrew Bauman
Global ARMS Program,5.82,95.34,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",8/31/13,ongoing,Jabo-2_03,7 meters,Coastal reef,Indonesia,Jaboi,Chris Meyer
Global ARMS Program,5.84,95.37,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",8/31/13,ongoing,Bent-1_03,10 meters,Coastal reef,Indonesia,Benteng,Chris Meyer
Global ARMS Program,5.86,-162.03,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",4/14/15,ongoing,PAL-25_2015_C,15 meters,Forereef,United States of America,Palmyra,Molly Timmers
Global ARMS Program,5.87,-162.11,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",12/31/09,12/31/11,PAL-19_2010_C,15 meters,Forereef,United States of America,Palmyra,Molly Timmers
Global ARMS Program,5.87,95.25,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",8/31/13,ongoing,Rubi-4_03,10 meters,Coastal reef,Indonesia,Rubiah Sea Garden,Chris Meyer
Global ARMS Program,5.88,-162.14,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",5/13/12,ongoing,PAL-17_2012_C,6 meters,Forereef,United States of America,Palmyra,Molly Timmers
Global ARMS Program,5.88,-162.1,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",12/31/07,12/31/09,PAL-27_2008_C,8 meters,Lagoon,United States of America,Palmyra,Molly Timmers
Global ARMS Program,5.88,-162.13,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",4/17/15,ongoing,PAL-66_2015_C,14 meters,Forereef,United States of America,Palmyra,Molly Timmers
Global ARMS Program,5.88,-162.07,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",5/14/12,ongoing,PAL-01_2012_C,4 meters,Forereef,United States of America,Palmyra,Molly Timmers
Global ARMS Program,5.89,95.34,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",8/31/13,ongoing,Sumu-3_03,10 meters,Coastal reef,Indonesia,Sumur Tiga,Chris Meyer
Global ARMS Program,5.89,95.25,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",8/31/13,ongoing,Pula-5_03,12 meters,Coastal reef,Indonesia,Pulau Seulako,Chris Meyer
Global ARMS Program,5.9,-162.08,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",4/15/15,ongoing,PAL-64_2015_C,14 meters,Forereef,United States of America,Palmyra,Molly Timmers
Global ARMS Program,6,134,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",1/5/17,ongoing,2017_PALA_09,100 meters,NA,Palau,NA,Luiz Rocha
Global ARMS Program,6.38,-162.35,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",5/10/12,ongoing,KIN-11_2012_C,5 meters,Forereef,United States of America,Kingman,Molly Timmers
Global ARMS Program,6.38,-162.38,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",5/8/12,ongoing,KIN-13_2012_C,5 meters,Forereef,United States of America,Kingman,Molly Timmers
Global ARMS Program,6.38,-162.34,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",12/31/09,12/31/11,KIN-23_2010_C,17 meters,Forereef,United States of America,Kingman,Molly Timmers
Global ARMS Program,6.39,-162.35,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",5/11/12,ongoing,KIN-05_2012_C,4 meters,Forereef,United States of America,Kingman,Molly Timmers
Global ARMS Program,6.94,158.1,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",N/A,ongoing,2018_POHN_09,100 meters,NA,"Micronesia, Federated States of",NA,Luiz Rocha
Global ARMS Program,6.96,158.16,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",N/A,ongoing,2018_POHN_27,100 meters,NA,"Micronesia, Federated States of",NA,Luiz Rocha
Global ARMS Program,6.97,158.11,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",N/A,ongoing,2018_POHN_18,100 meters,NA,"Micronesia, Federated States of",NA,Luiz Rocha
Global ARMS Program,7,134,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",N/A,ongoing,2017_PALA_27,100 meters,NA,Palau,NA,Luiz Rocha
Global ARMS Program,7.4,-81.66,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",1/12/17,ongoing,2017_COIBA_ARMS6,3 meters,Coral reef,Panama,NA,Matthieu Leray
Global ARMS Program,7.4,-81.67,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",1/12/17,ongoing,2017_COIBA_ARMS9,3 meters,Coral reef,Panama,NA,Matthieu Leray
Global ARMS Program,9.5,-82.27,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",8/31/12,ongoing,BOC-03_9,10 meters,Coral reef,Panama,Bocas del Toro,Matthieu Leray
Global ARMS Program,10.85,-85.95,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",6/30/15,ongoing,ISP-01_3,7 meters,Fringing reef,Costa Rica,Isla San Pedrito,Chris Meyer
Global ARMS Program,10.87,-85.89,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",6/30/15,ongoing,IPE-01_3,7 meters,Fringing reef,Costa Rica,Isla Pelada,Chris Meyer
Global ARMS Program,12.08,-68.9,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",12/31/12,1/16/18,BCURA_ARM60,15 meters,Fringing reef,Netherlands Antilles,Bapor Kibra,Carole Baldwin
Global ARMS Program,13.24,144.7,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",3/25/14,ongoing,GUA-21_2014_C,15 meters,Forereef,Guam,Guam,Molly Timmers
Global ARMS Program,13.31,144.65,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",12/31/10,12/31/13,GUA-02_2011_C,12 meters,Forereef,Guam,Guam,Molly Timmers
Global ARMS Program,13.45,144.63,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",12/31/10,12/31/13,GUA-12_2011_C,12 meters,Forereef / Lagoon,Guam,Guam,Molly Timmers
Global ARMS Program,13.48,144.87,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",3/28/14,ongoing,GUA-22_2014_C,16 meters,Forereef,Guam,Guam,Molly Timmers
Global ARMS Program,13.49,144.88,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",12/31/10,12/31/13,GUA-08_2011_C,12 meters,Forereef,Guam,Guam,Molly Timmers
Global ARMS Program,13.53,144.8,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",3/24/14,ongoing,GUA-20_2014_C,15 meters,Forereef,Guam,Guam,Molly Timmers
Global ARMS Program,13.58,144.83,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",12/31/10,12/31/13,GUA-05_2011_C,12 meters,Forereef,Guam,Guam,Molly Timmers
Global ARMS Program,13.6,144.92,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",3/29/14,ongoing,GUA-23_2014_C,15 meters,Forereef,Guam,Guam,Molly Timmers
