X1,Latitude,Longitude,Network Name
266,25.63,-169.25,Cetacean Research Program
267,25.89,-167.54,Cetacean Research Program
268,25.76,-167.15,Cetacean Research Program
269,25.63,-166.6,Cetacean Research Program
270,25.43,-166.21,Cetacean Research Program
271,25.04,-164.74,Cetacean Research Program
272,24.85,-164.35,Cetacean Research Program
273,24.78,-163.8,Cetacean Research Program
274,23.61,-162.63,Cetacean Research Program
275,23.87,-163.26,Cetacean Research Program
276,24.07,-163.64,Cetacean Research Program
277,24.07,-163.88,Cetacean Research Program
278,23.15,-163.41,Cetacean Research Program
279,23.02,-162.94,Cetacean Research Program
280,22.89,-162.63,Cetacean Research Program
281,22.76,-162.24,Cetacean Research Program
282,22.5,-163.8,Cetacean Research Program
283,22.7,-164.42,Cetacean Research Program
284,22.7,-164.74,Cetacean Research Program
285,22.76,-165.2,Cetacean Research Program
286,22.3,-165.83,Cetacean Research Program
287,22.43,-166.29,Cetacean Research Program
288,22.5,-166.68,Cetacean Research Program
289,21.72,-166.29,Cetacean Research Program
290,21.52,-165.98,Cetacean Research Program
291,20.48,-167.07,Cetacean Research Program
292,20.54,-167.46,Cetacean Research Program
293,20.61,-167.69,Cetacean Research Program
294,20.48,-167.31,Cetacean Research Program
295,21.72,-168.47,Cetacean Research Program
296,21.85,-169.02,Cetacean Research Program
297,22.24,-169.72,Cetacean Research Program
298,21.26,-169.17,Cetacean Research Program
299,21.39,-169.88,Cetacean Research Program
300,21.39,-170.42,Cetacean Research Program
301,21.39,-170.81,Cetacean Research Program
302,19.83,-167.77,Cetacean Research Program
303,19.83,-167.07,Cetacean Research Program
304,19.7,-166.76,Cetacean Research Program
305,19.57,-166.45,Cetacean Research Program
306,19.37,-166.06,Cetacean Research Program
307,19.3,-165.67,Cetacean Research Program
308,19.3,-165.36,Cetacean Research Program
309,19.11,-164.97,Cetacean Research Program
310,20.41,-167.07,Cetacean Research Program
311,20.54,-167.38,Cetacean Research Program
312,20.74,-167.54,Cetacean Research Program
313,20.74,-167.69,Cetacean Research Program
314,20.35,-164.11,Cetacean Research Program
315,20.22,-163.57,Cetacean Research Program
316,19.96,-162.94,Cetacean Research Program
317,20.87,-163.18,Cetacean Research Program
318,21,-163.8,Cetacean Research Program
319,21.13,-164.19,Cetacean Research Program
320,21.26,-164.74,Cetacean Research Program
321,21.85,-164.42,Cetacean Research Program
322,21.59,-164.11,Cetacean Research Program
323,21.59,-163.8,Cetacean Research Program
324,21.52,-162.94,Cetacean Research Program
325,21.46,-162.48,Cetacean Research Program
326,21.39,-162.4,Cetacean Research Program
327,22.83,-162.09,Cetacean Research Program
328,22.89,-162.55,Cetacean Research Program
329,23.02,-163.02,Cetacean Research Program
330,23.02,-163.26,Cetacean Research Program
331,23.15,-163.49,Cetacean Research Program
