Latitude_org,"N,S",Longitude_org,"E,W",Latitude,Longitude
33.803,NA,150.062,E,33.8,150.06
33.817,NA,141.267,E,33.82,141.27
33.817,NA,142.083,E,33.82,142.08
33.819,N,129.184,E,33.82,129.18
33.82,N,129.185,E,33.82,129.19
33.833,NA,141.133,E,33.83,141.13
33.833,NA,141.167,E,33.83,141.17
33.833,NA,141.2,E,33.83,141.2
33.85,NA,141.2,E,33.85,141.2
33.85,N,129.35,E,33.85,129.35
33.85,N,134.87,E,33.85,134.87
33.867,NA,141.2,E,33.87,141.2
33.867,NA,150,E,33.87,150
33.92,N,139.55,E,33.92,139.55
33.933,N,146.967,E,33.93,146.97
33.967,N,145.467,E,33.97,145.47
33.9717,N,130.566,E,33.97,130.57
33.98,N,128.95,E,33.98,128.95
33.983,N,141.508,E,33.98,141.51
33.983,N,147.5,E,33.98,147.5
33.983,N,148,E,33.98,148
33.996,N,129.745,E,34,129.75
33.9993,N,128.999,E,34,129
34,N,130.233,E,34,130.23
34,N,138,E,34,138
34,N,138.82,E,34,138.82
34,N,145.017,E,34,145.02
34,N,145.133,E,34,145.13
34,N,147.05,E,34,147.05
34,N,147.467,E,34,147.47
34,N,148,E,34,148
34,N,149.017,E,34,149.02
34,N,154.99,E,34,154.99
34,N,160,E,34,160
34,N,166,E,34,166
34,N,170,E,34,170
34,N,170.01,E,34,170.01
34,N,175.51,E,34,175.51
34.006,N,129.747,E,34.01,129.75
34.006,N,130.506,E,34.01,130.51
34.01,N,155.497,E,34.01,155.5
34.01,N,159.99,E,34.01,159.99
34.017,N,145.967,E,34.02,145.97
34.017,N,148.517,E,34.02,148.52
34.017,N,148.983,E,34.02,148.98
34.021,N,130.492,E,34.02,130.49
34.03,NA,162,E,34.03,162
34.03,N,179,E,34.03,179
34.033,N,146.067,E,34.03,146.07
34.05,N,148.45,E,34.05,148.45
34.06,N,128.85,E,34.06,128.85
34.08,N,129.18,E,34.08,129.18
34.08,N,139.4,E,34.08,139.4
34.083,N,147,E,34.08,147
34.112,NA,154.943,E,34.11,154.94
34.117,NA,140.967,E,34.12,140.97
34.132,N,148.492,E,34.13,148.49
34.133,NA,141.067,E,34.13,141.07
34.15,N,141,E,34.15,141
34.167,NA,140.883,E,34.17,140.88
34.167,NA,140.9,E,34.17,140.9
34.183,NA,140.917,E,34.18,140.92
34.1977,N,130.28,E,34.2,130.28
34.1998,N,129.567,E,34.2,129.57
34.2,NA,140.933,E,34.2,140.93
34.22,NA,164.802,E,34.22,164.8
34.2298,N,130,E,34.23,130
34.233,NA,140.933,E,34.23,140.93
34.263,N,128.902,E,34.26,128.9
34.265,N,128.903,E,34.27,128.9
34.269,N,128.945,E,34.27,128.94
34.28,N,139.15,E,34.28,139.15
34.28,N,141.8,E,34.28,141.8
34.3,N,138,E,34.3,138
34.338,N,128.998,E,34.34,129
34.392,NA,155.017,E,34.39,155.02
34.41,NA,170.235,E,34.41,170.24
34.417,N,140.6,E,34.42,140.6
34.4257,N,129.981,E,34.43,129.98
34.45,N,141.13,E,34.45,141.13
34.45,N,149.017,E,34.45,149.02
34.467,N,145,E,34.47,145
34.47,N,154.99,E,34.47,154.99
34.483,N,145.483,E,34.48,145.48
34.5,NA,140.6,E,34.5,140.6
34.5,NA,140.65,E,34.5,140.65
34.5,N,129.751,E,34.5,129.75
34.5,N,130.499,E,34.5,130.5
34.5,N,131.25,E,34.5,131.25
34.5,N,139.35,E,34.5,139.35
34.5,N,139.55,E,34.5,139.55
34.5,N,145.017,E,34.5,145.02
34.5,N,146.983,E,34.5,146.98
34.5,N,149,E,34.5,149
34.53,N,159.02,E,34.53,159.02
34.533,NA,140.567,E,34.53,140.57
34.533,NA,140.583,E,34.53,140.58
34.533,NA,140.65,E,34.53,140.65
34.533,N,147,E,34.53,147
34.55,N,139.3,E,34.55,139.3
34.55,N,140.4,E,34.55,140.4
34.55,N,146.967,E,34.55,146.97
34.581,N,131.251,E,34.58,131.25
34.583,NA,140.7,E,34.58,140.7
34.585,N,131.246,E,34.59,131.25
34.6,NA,140.65,E,34.6,140.65
34.6,N,139.38,E,34.6,139.38
34.6397,N,129.135,E,34.64,129.13
34.6565,N,129.661,E,34.66,129.66
34.68,N,140.2,E,34.68,140.2
34.7,NA,141.05,E,34.7,141.05
34.7,N,139.75,E,34.7,139.75
34.7,N,140,E,34.7,140
34.7,N,140.25,E,34.7,140.25
34.716,N,129.132,E,34.72,129.13
34.718,N,129.175,E,34.72,129.18
34.75,N,140.57,E,34.75,140.57
34.75,N,141.267,E,34.75,141.27
34.75,N,145.233,E,34.75,145.23
34.757,N,150.995,E,34.76,151
34.767,N,147,E,34.77,147
34.817,N,140,E,34.82,140
34.833,N,131.25,E,34.83,131.25
34.833,N,145.117,E,34.83,145.12
34.867,NA,140.233,E,34.87,140.23
34.88,N,141.07,E,34.88,141.07
34.883,N,140.417,E,34.88,140.42
34.8892,N,129.395,E,34.89,129.4
34.898,N,155.485,E,34.9,155.49
34.9,NA,140.217,E,34.9,140.22
34.9137,N,131.968,E,34.91,131.97
34.917,NA,140.3,E,34.92,140.3
34.933,NA,140.2,E,34.93,140.2
34.933,NA,140.217,E,34.93,140.22
34.933,NA,140.267,E,34.93,140.27
34.95,NA,166.813,E,34.95,166.81
34.95,N,145.8,E,34.95,145.8
34.95,N,159.233,E,34.95,159.23
34.964,N,131.235,E,34.96,131.24
34.967,NA,140.167,E,34.97,140.17
34.967,NA,140.233,E,34.97,140.23
34.967,N,145,E,34.97,145
34.967,N,145.017,E,34.97,145.02
34.967,N,145.033,E,34.97,145.03
